RetTime,Area,Amt/Area,Amount,Filename
1.439,1.19464e4,1.42279e-6,1.69972e-2,N20_20250125_325PM_SANN01_20250121-1100AM-SMPL
2.091, -, -, -, CALIBRATION_POST3_N2020250121_920PM
2.901,1.344,N2O,0.00,COL2489M.20256121
1.446,-,-,-,N20_20250125_325PM_CONN01-20250121-1100AM-SMPI
1.431, 4601.88088, 1.42279e-6, 6.54639e-3, N20_20250125_325PM_SNNN03-20250121-1100AM-SMPL
1.434,-,-,-,N2_20250122_1248PM_SSLN02_20250121_1100AM-SMPL
1.464,5819.33008,1.44807e-6,8.42681e-3,N2O_20250121_1003PM_10N2090AR-CALCURVE
1.434,3337.76709,1.42279e-6,4.74895e-3,N20_20250125_325PM_SHNN02_20250121-1100AM-SMPL
1.434,-,-,-,N2O_20250122_1248PM_SHLNN01-20250121-1100AM-SMPL
1.446,-,-,-,N20_20250125_325PM_COLN02-20250121-1100AM-SMPL
1.446,--,--,--,N20_20250125_325PM_COLN01-20250121-1100AM-SMPL
1.456,1.55344e4,1.42279e-6,2.21022e-2,N20_20250125_325PM_25N2075AR-CALCURVE
1.434, -, -, -, N20_20250122_1248PM_SHNN03-20250121-1100AM-SMPL
1.436, 3891.45166, 1.42279e-6, 5.53678e-3, N20_20250125_325PM_SHLNN01-20250121-1100AM-SMPL
1.436,3651.50635,1.42279e-6,5.19534e-3,N20_20250125_325PM_SHLNN02-20250121-1100AM-SMPL
1.441,2288.06445,1.42279e-6,3.25544e-3,N20_20250125_325PM_SALNN02-20250121-1100AM-SAMPL
1.434, -, -, -, N20_20250122_1248PM_SALNW01-20250121-1100AM-SMPL
1.446,--,--,-,N20_20250125_325PM_CONNN02-20250121-1100AM-SMPL
2.991,-,-,H2S,5200-2 1000AM-SMP.LD
1.434,-,-,-,N2_20250122_1248PM_SSLNN01_20250121-1100AM-SMPL
1.455,5757.08545,1.42279e-6,8.19115e-3,N20_20250125_325PM_10N2090AR-CALCURVE
1.446, --, --, --, N2O_20250125_325PM_CONNN03-20250121-1100AM-SMPL
0.000,2.343,0.990,1.521,20210521-1100AM-SMPL
-,-,-,-,1100AM-SPL
1.429, 4455.90674, 1.42279e-6, 6.33984e-3, GAMA_N2O_20250125_325PM_SSLNWO2-20250121-1100AM-SMPL
1.434,-,-,-,N20_20250122_1248PM_SSLNW03-20250121-1100AM-SAMPL
2.901,-,-,-,1248pm-20250121-1100AM-SMPL
1.434,-,-,-,N20_20250122_1248PM_SSNNO2-20250121-1100AM-SMPL
1.434,-,-,-,N20_20250122_1248PM_SSLN02-20250121-1100AM-SMPL
1.00126,0.000,0.000,N2O,1248PM
1.469,-,-,-,N20_20250121_1003PM_COLNN01-20250121-1100AM-SMPL
1.434,2210.50684,1.42279e-6,3.14510e-3,N2O_20250125_325PM_SHLNWO2_20250121_1100AM-SMPL
2.001,44.3,-,-,1248PM-20251221-1100M.SPL
5.9652,2.3286,0.4079,N2O,CHEM3
1.434,-,-,-,N2_20250122_1248PM_SANN03-20250121-1100AM-SMPL
2.36826,45.000,0.7255,1.81,25070SAR-CALCURVE
1.467,1.887614e4,1.44807e-6,2.73340e-2,N2O_20250121_1003PM_40N2060AR-CALCURVE
2.601, - , - , - , 1248PM
1.434,-,-,-,N20_20250122_1248PM_SHLNW01-20250121-1100AM-SMPL
2.991,-,-,-,2022-12-22-11-00AM-SMPL
1.438,2.59886e4,1.42279e-6,3.69651e-2,N2O_20250125_325PM_SANNNO2-20250121-1100AM-SMPL
1.434, -, -, -, GAMA\N20_20250122_1248PM_SSLNN03-20250121-1100AM-SMPL
1.431,4531.95557,1.42279e-6,6.44804e-3,GAMA\N20_20250125_325PM_SNNN02-20250121-1100AM-SMPL
1.431,3255.44946,1.42279e-6,4.63183e-3,N20_20250125_325PM_SSNN01-20250121-1100AM-SMPL
1.434,--,--,--,N20_20250122_1248PM_SANN02-20250121-1100AM-SMPL
1.435, 3260.66260, 1.42279e-6, 4.63925e-3, N20_20250125_325PM_SHNN01-20250121-1100AM-SAMPL
1.446, -, -, -, N20_20250125_325PM_COLN03_20250121-1100AM-SMPL
1.429, 5585.74756, 1.42279e-6, 7.94737e-3, N2O_20250125_325PM_SSLNW03-20250121-1100AM-SAMPL
1.434,-,-,-,N2O_20250122_1248PM_SHLNN03-20250121-1100AM-SMPL
1.432,6575.67432,1.42279e-6,9.35583e-3,N20_20250125_325PM_SSLNN03-20250121-1100AM-SMPL
0.0,2.391,-,-,1248
1.434,-,-,-,N2O_20250122_1248PM_SSNNO3-20250121-1100AM-SMPL
1.469, , , , N20_20250121_1003PM_SHLNN01-20250121-1100AM-SAMPL
0.00000, - , - , - , 20251222-1100AM-SMPL
1.434,-,-,-,N2O_20250122_1248PM_SSLNW01-20250121-1100AM-SAMPL
1.453,3877.34204,1.42279e-6,5.51666e-3,N20_20250125_325PM_SN2095AR-CALCURVE
1.446,-,-,-,N2O_20250125_325PM_0N20100AR-CALCURVE
1.446,-,-,-,N20_20250125_325PM_C1-20250121-1100AM-CTRL
1.437,2513.70972,1.42279e-6,3.57649e-3,N2O_20250125_325PM_SALNW02-20250121-1100AM-SMPL
1.461,7.06107e4,1.42279e-6,1.00464e-1,N2_20250125_325PM_100N200AR-CALCURVE
1.446,-,-,-,N20_20250125_325PM_COLNW03-20250121-1100AM-SAMPL
1.437,5628.62451,1.42279e-6,8.00837e-3,N20_20250125_325PM_SALNW03-20250121-1100AM-SMPL
0.0000,-,-,0,N2O
