RetTime,Area,Amt/Area,Amount,Filename
1.441,2288.06445,1.42279e-6,3.25544e-3,N20_20250125_325PM_SALNN02-20250121-1100AM-SAMPL
1.434,-,-,-,N20_20250122_1248PM_SALNW01-20250121-1100AM-SMPL
1.446,--,--,-,N20_20250125_325PM_CONNN02-20250121-1100AM-SMPL
2.491,0.0000,-,-,11100AM-SMPL
1.434,-,-,-,N2_20250122_1248PM_SSLNNO1-20250121-1100AM-SMPL
1.455,5757.08545,1.42279e-6,8.19115e-3,N20_20250125_325PM_10N2090AR-CALCURVE
1.446,--,--,--,N20_20250125_325PM_CONNN03-20250121-1100AM-SAMPL
0.0000,  - ,  - ,  H2S, 1100AWM-SMPD
1.429,4455.90674,1.42279e-6,6.33984e-3,GAMA_N2O_20250125_325PM_SSLNWO2-20250121-1100AM-SMPL
1.434,-,-,-,N20_20250122_1248PM_SSLNW03-20250121-1100AM-SMPL
2.901,-,-,-,C:\CHM32\SWAP\1248PM-20250322-11100M-SMPL
1.434, -, -, -, N20_20250122_1248PM_SSNNO2-20250121-1100AM-SMPL
1.434,-,-,-,N2_20250122_1248PM_SSLNN02_20250121-1100AM-SMPL
1.00126,5,2.937,0.091,12489PM_20Z0047.CALCURVE
1.469,-,-,-,N20_20250121_1003PM_COLNN01-20250121-1100AM-SAMPL
1.434, 2210.50684, 1.42279e-6, 3.14510e-3, N2O_20250125_1100AM-SMPL
2.001,0.341,N2O,-,2023-08-22-11-30-51.SMP
5.0,49652.3,1.0,20.0,CHEM23\1\209487M.N2O25222
1.434,-,-,-,N2_20250122_1248PM_SANN03-20250121-1100AM-SMPL
2.393840,-,-,H2S,2523075AR-CALCURVE
1.467,1.887614e1,1.44807e-6,2.73340e-2,N2O_20250121_1003PM_40N2060AR-CALCURVE
0.091,43.34,-,N2O,Sample_File_C:\CHMEA\31\DATA\2022\0804.CALCURV
1.434,-,-,-,N20_20250122_1248PM_SHLNW01-20250121-1100AM-SMPL
2.091, - , - ,N2O, 12489
1.438,2.59886e4,1.42279e-6,3.69651e-2,N20_20250125_325PM_SANNNO2-20250121-1100AM-SMPL
1.434, , , , CHEM32\DATA\GAMA\N20_20250122_1248PM_SSLNN03-20250121-1100AM-SMPL
1.431,4531.95557,1.42279e-6,6.44804e-3,GAMA\N20_20250125_325PM_SNNN02-20250121-1100AM-SMPL
1.431,3255.44946,1.42279e-6,4.63183e-3,N2_20250125_325PM_SSN001-20250121-1100AM-SMPL
1.434,-,-,-,N20_20250122_1248PM_SANN02-20250121-1100AM-SMPL
1.435, 3260.66260, 1.42279e-6, 4.63925e-3, N2_20250125_325PM_SHNN01-20250121-1100AM-SMPL
1.446,-,-,-,N20_20250125_325PM_COLN03_20250121-1100AM-SMPL
1.429,5585.74756,1.42279e-6,7.94737e-3,N20_20250125_325PM_SSLNW03-20250121-1100AM-SAMPL
1.434,-,-,-,N2O_20250122_1248PM_SHLNN03-20250121-1100AM-SMPL
1.432,6575.67432,1.42279e-6,9.35583e-3,N20_20250125_325PM_SSLNN03-20250121-1100AM-SMPL
0.0, - , - , - , 12848PM-20230721
1.434,-,-,-,N2O_20250122_1248PM_SSNNO3-20250121-1100AM-SMPL
1.469,-,-,-,N20_20250121_1003PM_SHLNN01-20250121-1100AM-SAMPL
0.00000,-,-,-,20251221-1100AM-SMPL
1.434, -, -, -, N20_20250122_1248PM_SSLNW01-20250121-1100AM-SMPL
1.453,3877.34204,1.42279e-6,5.51666e-3,N20_20250125_325PM_SN2095AR-CALCURVE
1.446,-,-,-,N2O_20250125_325PM_0N20100AR-CALCURVE
1.446,-,-,-,N20_20250125_325PM_C1-20250121-1100AM-CTRL
1.437,2513.70972,1.42279e-6,3.57649e-3,N2O_20250125_325PM_SALNW02-20250121-1100AM-SMPL
1.461,7.06107e4,1.42279e-6,1.00464e-1,N2O_20250125_325PM_100N200AR-CALCURVE
1.446, -, -, -, N20_20250125_325PM_COLNW03-20250121-1100AM-SMPL
1.437,5628.62451,1.42279e-6,8.00837e-3,N20_20250125_325PM_SALNW03-20250121-1100AM-SMPL
2.391,-,-,N2O,1248P8M-N2O
